Symbol,Industry,gt_10pc_gth,future_price_gth,Stacked_mdl_prob,nn_mdl_prob,avg_mdl_prob,Top30_ret,Top100_ret,largest_drawdown,Top30_ret_ddown
FR,REIT-Industrial,1.0,0.2844849561814911,0.5347772,0.48999956,0.5123884,0.06268903518696232,0.05594483796721389,-0.21600762129513673,0.05303723510093251
MTD,Diagnostics & Research,0.0,0.07595240133550213,0.40113217,0.63539445,0.51826334,0.06268903518696232,0.05594483796721389,-0.21810714285714283,0.05303723510093251
DDOG,Software-Application,0.0,-0.13917274939172747,0.5584322,0.48433495,0.5213836,0.06268903518696232,0.05594483796721389,-0.22138065353819514,0.05303723510093251
PKI,Diagnostics & Research,0.0,-0.0546527195741854,0.40674925,0.6285382,0.5176437,0.06268903518696232,0.05594483796721389,-0.22418079516545342,0.05303723510093251
AZN,Drug Manufacturers-General,1.0,0.1438744315870452,0.39043894,0.6398465,0.51514274,0.06268903518696232,0.05594483796721389,-0.22428970257006653,0.05303723510093251
CHCT,REIT-Healthcare Facilities,0.0,0.09604017902900672,0.4234606,0.7396202,0.5815404,0.06268903518696232,0.05594483796721389,-0.22607222183048925,0.05303723510093251
EVRG,Utilities-Regulated Electric,1.0,0.18878839111744591,0.5119397,0.5547309,0.5333353,0.06268903518696232,0.05594483796721389,-0.2315950494079383,0.05303723510093251
SE,Electronic Gaming & Multimedia,1.0,0.18508605971113462,0.4938711,0.8217788,0.65782493,0.06268903518696232,0.05594483796721389,-0.2453333333333334,0.05303723510093251
BIP,Utilities-Diversified,0.0,0.08520436973542041,0.5859954,0.4616461,0.52382076,0.06268903518696232,0.05594483796721389,-0.2517471184317436,0.05303723510093251
EXR,REIT-Industrial,1.0,0.3651505411192162,0.47172636,0.55340195,0.5125642,0.06268903518696232,0.05594483796721389,-0.25736373149661573,0.05303723510093251
DT,Software-Application,1.0,0.22693326909178516,0.6294698,0.62134296,0.6254064,0.06268903518696232,0.05594483796721389,-0.26191950464396274,0.05303723510093251
AMED,Medical Care Facilities,0.0,-0.11033378580627193,0.51062524,0.7514364,0.6310308,0.06268903518696232,0.05594483796721389,-0.2625583566760036,0.05303723510093251
LHCG,Medical Care Facilities,0.0,-0.001154502559983886,0.35347378,0.69919854,0.5263362,0.06268903518696232,0.05594483796721389,-0.2638023630504829,0.05303723510093251
SNY,Drug Manufacturers-General,1.0,0.15216588727541222,0.53741246,0.61329794,0.5753552,0.06268903518696232,0.05594483796721389,-0.2674578773176878,0.05303723510093251
IDXX,Diagnostics & Research,1.0,0.16645775883680122,0.6264764,0.5966367,0.61155653,0.06268903518696232,0.05594483796721389,-0.2677531097464966,0.05303723510093251
BR,Information Technology Services,1.0,0.1429631071658466,0.648257,0.76582146,0.70703924,0.06268903518696232,0.05594483796721389,-0.28167203271334584,0.05303723510093251
BLK,Asset Management,1.0,0.27826127063652906,0.44967496,0.68639547,0.56803524,0.06268903518696232,0.05594483796721389,-0.28306328215428744,0.05303723510093251
GLOB,Software-Application,1.0,0.11114583333333335,0.56333184,0.71754193,0.6404369,0.06268903518696232,0.05594483796721389,-0.2837815810920946,0.05303723510093251
COO,Medical Instruments & Supplies,0.0,0.04922535985056576,0.6028904,0.5495041,0.57619727,0.06268903518696232,0.05594483796721389,-0.2999439410060585,0.05303723510093251
INDT,Real Estate-Development,0.0,0.016946493017417314,0.3616976,0.6970227,0.5293602,0.06268903518696232,0.05594483796721389,-0.3002255067199665,0.05303723510093251
LH,Diagnostics & Research,1.0,0.16355773011227132,0.52362305,0.5459465,0.5347848,0.06268903518696232,0.05594483796721389,-0.3002934824741127,0.05303723510093251
ZEN,Software-Application,0.0,-0.07903494176372716,0.6442779,0.56671005,0.60549396,0.06268903518696232,0.05594483796721389,-0.3096711169000326,0.05303723510093251
NEO,Diagnostics & Research,0.0,-0.22859298377970586,0.5438677,0.57419366,0.55903065,0.06268903518696232,0.05594483796721389,-0.3161605206073753,0.05303723510093251
CDAY,Software-Application,0.0,-0.06974491443332247,0.589517,0.55669665,0.5731068,0.06268903518696232,0.05594483796721389,-0.3168235775685634,0.05303723510093251
GH,Diagnostics & Research,0.0,-0.24315112540192926,0.69844407,0.5678534,0.6331487,0.06268903518696232,0.05594483796721389,-0.3208852005532504,0.05303723510093251
GMRE,REIT-Healthcare Facilities,1.0,0.19043762754688862,0.38395923,0.74791217,0.56593573,0.06268903518696232,0.05594483796721389,-0.32178562813262246,0.05303723510093251
STAG,REIT-Industrial,1.0,0.2526969909408331,0.5347772,0.50230926,0.51854324,0.06268903518696232,0.05594483796721389,-0.32388475585012866,0.05303723510093251
TYL,Software-Application,0.0,-0.046287755150311014,0.5939555,0.617342,0.60564876,0.06268903518696232,0.05594483796721389,-0.3257117238287379,0.05303723510093251
RNG,Software-Application,0.0,-0.3383567521184168,0.59471995,0.60259515,0.59865755,0.06268903518696232,0.05594483796721389,-0.33206106870229,0.05303723510093251
HUBS,Software-Application,1.0,0.31706072004298763,0.7294726,0.6325852,0.6810289,0.06268903518696232,0.05594483796721389,-0.3329827724358976,0.05303723510093251
CIEN,Communication Equipment,1.0,0.12399325716426292,0.50935143,0.71894175,0.6141466,0.06268903518696232,0.05594483796721389,-0.33870333988212187,0.05303723510093251
LSI,REIT-Industrial,1.0,0.2765946929252184,0.5677398,0.5192,0.5434699,0.06268903518696232,0.05594483796721389,-0.3390889512766839,0.05303723510093251
MAS,Building Products & Equipment,1.0,0.10499484286448377,0.46544266,0.6068759,0.5361593,0.06268903518696232,0.05594483796721389,-0.339339220391901,0.05303723510093251
PDEX,Medical Instruments & Supplies,0.0,0.08656330749354003,0.40426987,0.68121415,0.542742,0.06268903518696232,0.05594483796721389,-0.33993015133876603,0.05303723510093251
SCPL,Electronic Gaming & Multimedia,0.0,0.06762680025046963,0.6736618,0.36087748,0.5172697,0.06268903518696232,0.05594483796721389,-0.34062727935813286,0.05303723510093251
QTWO,Software-Application,0.0,-0.255957496679428,0.9013455,0.67223644,0.78679097,0.06268903518696232,0.05594483796721389,-0.3434130072262367,0.05303723510093251
ACMR,Semiconductor Equipment & Materials,0.0,-0.0672222222222222,0.29992583,0.85414577,0.5770358,0.06268903518696232,0.05594483796721389,-0.34631360332294914,0.05303723510093251
GWRE,Software-Application,0.0,-0.09116262855150771,0.7854837,0.56171167,0.6735977,0.06268903518696232,0.05594483796721389,-0.3490109168513501,0.05303723510093251
MCHP,Semiconductors,1.0,0.1474458290070878,0.5556718,0.56003606,0.55785394,0.06268903518696232,0.05594483796721389,-0.35036148283382307,0.05303723510093251
PDD,Internet Retail,0.0,-0.20240178625309285,0.49341333,0.7108391,0.60212624,0.06268903518696232,0.05594483796721389,-0.35136940547762185,0.05303723510093251
CSTL,Diagnostics & Research,0.0,-0.052820589555588826,0.52295566,0.5847679,0.55386174,0.06268903518696232,0.05594483796721389,-0.3520773638968482,0.05303723510093251
AYX,Software-Application,0.0,-0.3916699722332407,0.7715906,0.69352037,0.7325555,0.06268903518696232,0.05594483796721389,-0.3576693576693576,0.05303723510093251
PAYC,Software-Application,0.0,-0.1513140569863592,0.59727716,0.61692375,0.6071005,0.06268903518696232,0.05594483796721389,-0.3650678903696254,0.05303723510093251
ELAN,Drug Manufacturers-Specialty & Generic,1.0,0.17740268687564584,0.3971374,0.6601347,0.52863604,0.06268903518696232,0.05594483796721389,-0.3665680473372782,0.05303723510093251
MODN,Software-Application,0.0,-0.01795173631547968,0.6448798,0.6101382,0.627509,0.06268903518696232,0.05594483796721389,-0.3666951810664385,0.05303723510093251
NOW,Software-Application,0.0,-0.15190735694822888,0.5908783,0.6766648,0.63377154,0.06268903518696232,0.05594483796721389,-0.3680036777381911,0.05303723510093251
MELI,Internet Retail,0.0,-0.2551769869233665,0.46456003,0.7148065,0.5896833,0.06268903518696232,0.05594483796721389,-0.3714066361705649,0.05303723510093251
XLNX,Semiconductors,0.0,-0.014857930611932281,0.5776061,0.57323414,0.57542014,0.06268903518696232,0.05594483796721389,-0.3760786903715503,0.05303723510093251
ONTO,Semiconductors,1.0,0.3315448658649399,0.5314163,0.6599576,0.5956869,0.06268903518696232,0.05594483796721389,-0.3770828577950238,0.05303723510093251
PFSI,Mortgage Finance,0.0,0.05675411639565287,0.39919186,0.7097041,0.554448,0.06268903518696232,0.05594483796721389,-0.37711700564534845,0.05303723510093251
TWST,Diagnostics & Research,0.0,-0.41448887808435636,0.63305396,0.58462876,0.60884136,0.06268903518696232,0.05594483796721389,-0.3772241992882561,0.05303723510093251
WORK,Software-Application,0.0,0.04742708086317287,0.67653155,0.632544,0.6545378,0.06268903518696232,0.05594483796721389,-0.3797127468581688,0.05303723510093251
AMP,Asset Management,1.0,0.3535656747862249,0.46751747,0.6621936,0.5648555,0.06268903518696232,0.05594483796721389,-0.38145523989624086,0.05303723510093251
INS,Software-Application,0.0,-0.21091627562361082,0.8020812,0.6426558,0.7223685,0.06268903518696232,0.05594483796721389,-0.39440347891851013,0.05303723510093251
